username,community_name,joinedAt,role,isActive
cheryl81,r/EldenRing,2026-01-04,Member,false
umoore,r/PS5,2026-02-27,Moderator,false
devin68,r/truegaming,2026-03-23,Member,true
alison95,r/leagueoflegends,2026-04-06,Moderator,true
russellmelissa,r/Valorant,2026-01-16,Moderator,true
smithlori,r/gaming,2026-04-25,Moderator,false
phylliswood,r/pcmasterrace,2026-01-19,Member,false
nrose,r/leagueoflegends,2026-02-10,Moderator,true
deleonjames,r/patientgamers,2026-02-09,Moderator,true
michaelvincent,r/patientgamers,2026-04-06,Moderator,false
stacey70,r/EldenRing,2026-02-17,Member,false
brad76,r/EldenRing,2026-01-17,Moderator,false
cindyarellano,r/PS5,2026-02-05,Member,false
holly95,r/Helldivers,2026-01-18,Moderator,true
michellerobinson,r/Minecraft,2026-04-03,Moderator,true
wswanson,r/Helldivers,2026-03-22,Member,true
dylanfowler,r/leagueoflegends,2026-03-01,Member,true
murraygary,r/gaming,2026-03-13,Member,true
kristen89,r/Valorant,2026-01-19,Member,true
michael65,r/gaming,2026-04-09,Moderator,false
ymiller,r/pcmasterrace,2026-04-22,Moderator,true
williamsandre,r/pcmasterrace,2026-01-22,Member,false
andrewsmith,r/EldenRing,2026-04-20,Moderator,true
obryan,r/EldenRing,2026-02-06,Member,true
munozmelissa,r/PS5,2026-04-18,Moderator,false
amy19,r/pcmasterrace,2026-01-02,Moderator,true
wpatton,r/NintendoSwitch,2026-04-07,Moderator,true
dbarnett,r/NintendoSwitch,2026-04-14,Member,false
hernandezangela,r/gaming,2026-03-24,Moderator,false
davisgary,r/patientgamers,2026-02-13,Member,false
jasondavis,r/leagueoflegends,2026-01-11,Moderator,false
jherman,r/truegaming,2026-03-27,Member,true
higginsjack,r/Minecraft,2026-02-10,Moderator,false
chelsea21,r/EldenRing,2026-01-15,Moderator,true
wchaney,r/patientgamers,2026-01-02,Member,false
patrick83,r/Helldivers,2026-02-14,Moderator,false
romerojohnathan,r/NintendoSwitch,2026-03-18,Member,true
ocarpenter,r/pcmasterrace,2026-04-20,Member,false
simonnicholas,r/FortniteBR,2026-02-20,Moderator,false
mariajacobs,r/Helldivers,2026-03-13,Member,false
jeff81,r/gaming,2026-01-07,Moderator,true
mooremarcus,r/NintendoSwitch,2026-01-04,Moderator,true
hannahjones,r/Helldivers,2026-04-16,Member,true
cody33,r/NintendoSwitch,2026-03-01,Member,true
jonathanhill,r/Valorant,2026-01-09,Moderator,true
amyharrell,r/patientgamers,2026-02-18,Member,true
williamsanchez,r/leagueoflegends,2026-04-10,Moderator,true
hillkevin,r/Minecraft,2026-03-11,Member,false
juan50,r/gaming,2026-01-22,Member,true
kennethdillon,r/skyrim,2026-02-01,Moderator,false
jenniferramos,r/gaming,2026-02-25,Moderator,true
amandakane,r/FortniteBR,2026-02-22,Moderator,false
ralph55,r/skyrim,2026-01-29,Member,false
perezmiguel,r/GlobalOffensive,2026-03-04,Member,true
daniel07,r/indiegames,2026-01-02,Member,false
rhonda12,r/NintendoSwitch,2026-04-20,Member,true
hortondeborah,r/skyrim,2026-02-05,Member,false
riveralydia,r/GlobalOffensive,2026-01-27,Moderator,true
william66,r/truegaming,2026-02-11,Member,true
clarkjonathan,r/Minecraft,2026-02-06,Moderator,false
cheyennemarquez,r/Minecraft,2026-01-05,Member,false
aprilbriggs,r/EldenRing,2026-01-29,Member,false
anthony96,r/leagueoflegends,2026-04-13,Member,false
xtrujillo,r/indiegames,2026-01-17,Moderator,false
brewerlaura,r/FortniteBR,2026-03-17,Member,true
barnesbrittany,r/NintendoSwitch,2026-01-26,Moderator,false
rodriguezangela,r/Valorant,2026-01-03,Moderator,false
anita25,r/NintendoSwitch,2026-03-18,Moderator,true
williamprice,r/truegaming,2026-04-24,Member,false
john47,r/truegaming,2026-04-06,Member,true
jacob17,r/truegaming,2026-01-25,Moderator,true
greenedonna,r/pcmasterrace,2026-02-06,Moderator,false
chelsey78,r/EldenRing,2026-02-16,Moderator,true
donnabaker,r/Minecraft,2026-03-01,Moderator,false
nelsondominic,r/Helldivers,2026-01-24,Moderator,true
jillmeyer,r/gaming,2026-01-03,Member,false
rachelmcgee,r/patientgamers,2026-04-14,Member,false
carla20,r/PS5,2026-02-13,Moderator,false
olivertimothy,r/GlobalOffensive,2026-02-05,Member,true
qbenitez,r/skyrim,2026-03-31,Moderator,true
kathleenguerrero,r/Valorant,2026-02-10,Moderator,true
cookmackenzie,r/EldenRing,2026-01-20,Member,false
omcguire,r/Valorant,2026-02-03,Moderator,true
sharon35,r/Valorant,2026-04-10,Moderator,true
paul16,r/Valorant,2026-02-21,Member,false
taylor35,r/patientgamers,2026-04-01,Member,false
katherine53,r/GlobalOffensive,2026-04-10,Member,false
patricia13,r/Valorant,2026-02-16,Moderator,false
knoxstephanie,r/PS5,2026-01-09,Member,false
qolson,r/pcmasterrace,2026-04-17,Member,false
xhunter,r/pcmasterrace,2026-04-07,Member,true
glenn50,r/leagueoflegends,2026-03-19,Member,true
gailfranklin,r/FortniteBR,2026-03-21,Moderator,true
pgray,r/EldenRing,2026-03-15,Member,true
eddiebraun,r/Helldivers,2026-02-04,Member,false
sean09,r/leagueoflegends,2026-04-03,Member,true
sbaxter,r/EldenRing,2026-04-12,Moderator,false
fwebb,r/indiegames,2026-03-24,Member,true
brianbaird,r/indiegames,2026-02-05,Member,true
jtanner,r/PS5,2026-03-08,Member,false
dtorres,r/patientgamers,2026-01-06,Moderator,false
zturner,r/gaming,2026-04-23,Member,false
yporter,r/EldenRing,2026-03-11,Moderator,false
john08,r/FortniteBR,2026-02-16,Moderator,false
ljackson,r/PS5,2026-03-22,Member,true
upeterson,r/GlobalOffensive,2026-03-17,Moderator,true
gamblecharles,r/FortniteBR,2026-03-01,Member,true
melissa29,r/EldenRing,2026-03-19,Moderator,false
smithdaniel,r/indiegames,2026-02-28,Member,false
baileyjoseph,r/Valorant,2026-03-31,Moderator,true
michaelbates,r/PS5,2026-03-20,Member,false
danielshort,r/leagueoflegends,2026-03-20,Member,false
rushheather,r/NintendoSwitch,2026-04-19,Member,false
alisonhenderson,r/gaming,2026-01-14,Moderator,false
lhamilton,r/Helldivers,2026-02-01,Moderator,true
heather69,r/EldenRing,2026-01-11,Moderator,true
crystalmejia,r/skyrim,2026-02-13,Member,false
derek04,r/Helldivers,2026-01-02,Member,false
carolyn94,r/NintendoSwitch,2026-04-25,Member,true
johnathanpalmer,r/leagueoflegends,2026-02-25,Moderator,false
kford,r/truegaming,2026-04-21,Member,false
dominique22,r/PS5,2026-01-08,Moderator,true
andersontina,r/NintendoSwitch,2026-04-04,Moderator,true
smiththomas,r/gaming,2026-02-14,Moderator,false
stephen82,r/pcmasterrace,2026-02-03,Member,true
trujilloadam,r/truegaming,2026-04-17,Member,false
connie38,r/FortniteBR,2026-02-19,Moderator,false
stevensdanielle,r/patientgamers,2026-02-11,Member,true
hurstjeff,r/pcmasterrace,2026-03-08,Member,true
ewingjohn,r/leagueoflegends,2026-04-28,Member,false
smithterri,r/Helldivers,2026-02-20,Member,false
patricia13,r/gaming,2026-04-10,Member,false
afrost,r/indiegames,2026-04-02,Member,true
twright,r/FortniteBR,2026-03-04,Member,false
briansnyder,r/patientgamers,2026-01-02,Moderator,false
christinamelton,r/gaming,2026-03-12,Member,true
lmartinez,r/PS5,2026-04-12,Moderator,true
waremichael,r/Minecraft,2026-04-14,Member,true
samanthahunt,r/Minecraft,2026-01-28,Moderator,true
thess,r/GlobalOffensive,2026-03-22,Moderator,false
pricerebecca,r/Helldivers,2026-01-02,Member,false
schneiderjacqueline,r/Minecraft,2026-02-16,Moderator,false
dsandoval,r/GlobalOffensive,2026-02-28,Moderator,false
morrislindsay,r/GlobalOffensive,2026-04-02,Moderator,true
chad84,r/indiegames,2026-01-11,Moderator,true
wduncan,r/EldenRing,2026-03-09,Member,true
allisonglenn,r/GlobalOffensive,2026-02-02,Member,true
jhill,r/patientgamers,2026-04-16,Member,true
krausebrian,r/PS5,2026-03-01,Moderator,false
davisbrittney,r/patientgamers,2026-04-04,Moderator,false
melaniejackson,r/NintendoSwitch,2026-03-02,Member,false
qmiles,r/pcmasterrace,2026-04-23,Moderator,true
ramirezdebbie,r/PS5,2026-01-22,Moderator,false
anthony38,r/Valorant,2026-02-26,Moderator,false
emilyvega,r/truegaming,2026-03-14,Member,true
travisjacobs,r/truegaming,2026-02-22,Member,true
rose03,r/PS5,2026-03-08,Moderator,false
fdeleon,r/patientgamers,2026-02-26,Member,false
angelawilliams,r/truegaming,2026-01-08,Member,false
webbbethany,r/Helldivers,2026-04-03,Moderator,true
wellsronald,r/skyrim,2026-01-26,Moderator,true
daniel67,r/patientgamers,2026-03-19,Member,true
jeffrey54,r/EldenRing,2026-04-11,Member,true
jorge27,r/Helldivers,2026-01-23,Moderator,false
chelsea21,r/FortniteBR,2026-04-13,Moderator,false
robert42,r/EldenRing,2026-01-28,Member,true
xherrera,r/NintendoSwitch,2026-02-12,Moderator,true
brittney02,r/FortniteBR,2026-03-29,Moderator,false
marksmith,r/PS5,2026-01-03,Moderator,true
jorge27,r/patientgamers,2026-03-29,Member,true
padams,r/Helldivers,2026-03-25,Moderator,false
jenniferwoodard,r/pcmasterrace,2026-04-03,Moderator,false
sharon87,r/pcmasterrace,2026-04-18,Moderator,false
ewest,r/NintendoSwitch,2026-03-20,Moderator,false
yblankenship,r/Minecraft,2026-03-09,Member,true
christopher95,r/EldenRing,2026-01-08,Member,false
estesjoseph,r/skyrim,2026-03-30,Moderator,false
yporter,r/Minecraft,2026-02-20,Moderator,false
anthony96,r/truegaming,2026-04-20,Moderator,false
michaeldavis,r/EldenRing,2026-04-12,Member,false
lukejenkins,r/EldenRing,2026-02-08,Moderator,true
apineda,r/FortniteBR,2026-03-16,Member,false
tylerelizabeth,r/indiegames,2026-01-28,Member,true
whitematthew,r/skyrim,2026-04-21,Moderator,false
kennethbell,r/Helldivers,2026-04-03,Member,true
sylvia30,r/skyrim,2026-04-11,Moderator,false
brett61,r/skyrim,2026-03-07,Member,true
omar74,r/Helldivers,2026-04-12,Moderator,true
josephsims,r/indiegames,2026-03-07,Member,false
gkerr,r/FortniteBR,2026-04-20,Member,false
steven82,r/Valorant,2026-03-13,Moderator,true
smithterri,r/PS5,2026-04-03,Member,false
dennisroberts,r/GlobalOffensive,2026-02-05,Member,true
donald21,r/Valorant,2026-03-20,Moderator,false
raymond48,r/EldenRing,2026-01-12,Member,true
wbeck,r/skyrim,2026-01-24,Moderator,true
kentsherry,r/gaming,2026-02-27,Moderator,true
ojohnson,r/NintendoSwitch,2026-02-24,Member,false
kevinharvey,r/FortniteBR,2026-04-01,Member,true
bochoa,r/pcmasterrace,2026-03-13,Member,true
lauramitchell,r/FortniteBR,2026-03-05,Moderator,true
mooredonald,r/pcmasterrace,2026-03-21,Member,true
velasquezvanessa,r/patientgamers,2026-02-11,Moderator,false
laura46,r/indiegames,2026-03-13,Moderator,true
stevenskenneth,r/Minecraft,2026-03-24,Moderator,true
nancytorres,r/FortniteBR,2026-04-18,Moderator,true
jamesmichael,r/pcmasterrace,2026-03-21,Member,false
ltorres,r/skyrim,2026-02-15,Member,true
dsanchez,r/Helldivers,2026-04-02,Member,false
patrick19,r/Valorant,2026-01-09,Moderator,true
flynnvictor,r/pcmasterrace,2026-03-18,Moderator,false
rsavage,r/truegaming,2026-02-19,Member,false
heatherjohnston,r/Valorant,2026-01-31,Moderator,false
wlewis,r/skyrim,2026-04-17,Member,true
marcosutton,r/gaming,2026-01-16,Moderator,false
johngeorge,r/FortniteBR,2026-03-28,Moderator,false
roger20,r/truegaming,2026-04-06,Moderator,false
hansonjoseph,r/leagueoflegends,2026-04-05,Member,true
zmorris,r/truegaming,2026-04-25,Member,true
pughkylie,r/GlobalOffensive,2026-04-14,Member,true
monique79,r/NintendoSwitch,2026-04-27,Moderator,true
hilladam,r/EldenRing,2026-03-09,Moderator,false
melissa41,r/leagueoflegends,2026-03-02,Moderator,true
anthony38,r/Valorant,2026-01-29,Moderator,true
acampbell,r/Helldivers,2026-03-30,Moderator,true
woodslydia,r/FortniteBR,2026-04-21,Member,true
veronica19,r/skyrim,2026-02-15,Moderator,false
hensondavid,r/indiegames,2026-04-17,Member,true
ethomas,r/EldenRing,2026-02-15,Moderator,true
jack22,r/NintendoSwitch,2026-01-06,Member,false
emilygriffin,r/pcmasterrace,2026-03-12,Member,true
mark99,r/leagueoflegends,2026-02-27,Moderator,true
wardjamie,r/Helldivers,2026-03-09,Moderator,true
gaineschristian,r/EldenRing,2026-03-03,Moderator,true
harpermark,r/indiegames,2026-03-15,Member,false
woodabigail,r/PS5,2026-03-20,Moderator,false
michelle49,r/skyrim,2026-02-06,Member,true
dsandoval,r/NintendoSwitch,2026-01-03,Moderator,false
andrew64,r/truegaming,2026-03-26,Moderator,true
abennett,r/indiegames,2026-02-28,Member,true
sarah10,r/NintendoSwitch,2026-03-07,Member,false
ovalentine,r/patientgamers,2026-04-27,Moderator,true
nguyenrobert,r/GlobalOffensive,2026-03-20,Moderator,true
martinezmarcus,r/FortniteBR,2026-01-20,Moderator,false
jessicahogan,r/Helldivers,2026-01-07,Moderator,false
paula87,r/PS5,2026-03-04,Moderator,false
tammy54,r/gaming,2026-01-11,Member,false
randerson,r/NintendoSwitch,2026-04-08,Member,true
jlopez,r/FortniteBR,2026-01-30,Moderator,false
salasjames,r/gaming,2026-02-05,Moderator,false
bradleyrandall,r/indiegames,2026-03-26,Moderator,true
hunttravis,r/FortniteBR,2026-04-21,Member,false
sharonharding,r/skyrim,2026-03-01,Moderator,false
charlotte04,r/PS5,2026-01-09,Moderator,true
jeremy30,r/PS5,2026-03-03,Member,false
bestalexis,r/skyrim,2026-02-05,Member,false
vhanson,r/truegaming,2026-01-19,Moderator,false
faulknerwilliam,r/gaming,2026-03-12,Moderator,false
garciapamela,r/leagueoflegends,2026-01-07,Member,true
christymason,r/GlobalOffensive,2026-03-27,Moderator,true
gailcarter,r/Minecraft,2026-04-20,Moderator,false
cporter,r/leagueoflegends,2026-01-24,Member,false
anthonywilkinson,r/Helldivers,2026-02-23,Member,false
michaelcruz,r/gaming,2026-02-14,Moderator,false
mckayvanessa,r/FortniteBR,2026-03-13,Member,false
aliciahall,r/NintendoSwitch,2026-04-16,Moderator,true
kathyjohnson,r/Minecraft,2026-01-23,Moderator,true
qprice,r/Valorant,2026-01-16,Member,true
jprice,r/skyrim,2026-01-03,Member,true
ymiller,r/Helldivers,2026-02-18,Member,false
michaelcruz,r/Minecraft,2026-01-09,Member,false
richard26,r/EldenRing,2026-02-06,Member,true
swilliamson,r/EldenRing,2026-01-15,Member,true
weberjuan,r/skyrim,2026-03-31,Member,true
erose,r/Helldivers,2026-04-21,Moderator,true
kentsherry,r/PS5,2026-04-05,Member,true
ajoyce,r/EldenRing,2026-03-28,Member,false
brandon36,r/gaming,2026-01-31,Member,true
millerjanice,r/NintendoSwitch,2026-01-29,Moderator,true
clinerandy,r/indiegames,2026-02-20,Moderator,true
meghan76,r/FortniteBR,2026-04-24,Moderator,true
rubiodalton,r/pcmasterrace,2026-03-08,Member,true
ryanconrad,r/patientgamers,2026-02-07,Moderator,true
don68,r/EldenRing,2026-04-17,Member,false
marylester,r/patientgamers,2026-04-21,Moderator,false
mooremia,r/FortniteBR,2026-02-01,Member,true
stephenlane,r/NintendoSwitch,2026-03-09,Moderator,true
sgreen,r/Minecraft,2026-03-29,Member,true
isnyder,r/indiegames,2026-04-14,Member,true
jennifer86,r/indiegames,2026-03-02,Member,false
wodonnell,r/indiegames,2026-01-06,Member,false
ojennings,r/truegaming,2026-03-11,Member,true
jlarson,r/pcmasterrace,2026-01-25,Moderator,true
williamwilliams,r/GlobalOffensive,2026-03-08,Moderator,true
lorraine90,r/truegaming,2026-03-29,Moderator,false
michellesheppard,r/Minecraft,2026-02-19,Moderator,true
michaelyoung,r/Minecraft,2026-02-07,Moderator,false
seanwebster,r/indiegames,2026-04-26,Member,false
gvargas,r/Minecraft,2026-01-18,Member,false
tfranco,r/indiegames,2026-04-01,Moderator,false
ecruz,r/leagueoflegends,2026-02-24,Moderator,false
pdeleon,r/skyrim,2026-04-03,Member,true
rodriguezmichelle,r/patientgamers,2026-02-03,Moderator,false
graypatrick,r/truegaming,2026-01-08,Member,true
haydenrebecca,r/patientgamers,2026-03-31,Moderator,false
marymiller,r/leagueoflegends,2026-02-16,Member,true
wilsoneric,r/indiegames,2026-03-10,Moderator,true
wquinn,r/indiegames,2026-02-25,Moderator,false
christinemiller,r/gaming,2026-04-18,Member,true
hreid,r/PS5,2026-04-13,Member,true
jamessimmons,r/skyrim,2026-04-06,Member,true
owarner,r/truegaming,2026-02-20,Moderator,true
xdickerson,r/indiegames,2026-03-06,Member,false
darryllowe,r/skyrim,2026-02-19,Moderator,false
valerie09,r/PS5,2026-01-09,Member,true
cantrellstephen,r/patientgamers,2026-02-14,Moderator,true
ithompson,r/indiegames,2026-04-01,Moderator,false
alexandria14,r/EldenRing,2026-03-09,Member,true
hgarner,r/indiegames,2026-02-18,Moderator,false
millermitchell,r/Minecraft,2026-01-06,Moderator,false
travis48,r/Valorant,2026-04-03,Moderator,false
jennifer07,r/GlobalOffensive,2026-01-16,Moderator,true
knightmichael,r/skyrim,2026-02-15,Moderator,false
donna74,r/EldenRing,2026-04-13,Moderator,false
stevenlong,r/PS5,2026-04-22,Moderator,true
william71,r/GlobalOffensive,2026-04-18,Member,true
dustinperry,r/gaming,2026-01-25,Moderator,false
meghanherrera,r/FortniteBR,2026-01-09,Moderator,false
kyletanner,r/FortniteBR,2026-04-02,Moderator,true
caitlin62,r/patientgamers,2026-01-22,Moderator,true
anthonywilkinson,r/Minecraft,2026-01-21,Moderator,false
scollins,r/pcmasterrace,2026-01-21,Moderator,false
hayesbrandon,r/patientgamers,2026-03-22,Member,false
anthony50,r/GlobalOffensive,2026-01-21,Moderator,false
evanzavala,r/GlobalOffensive,2026-02-26,Moderator,true
richmondjay,r/indiegames,2026-04-27,Member,false
knightmartin,r/gaming,2026-04-16,Member,false
hector58,r/NintendoSwitch,2026-01-23,Member,true
maureenjohnson,r/indiegames,2026-01-25,Member,false
prattmichael,r/indiegames,2026-01-26,Moderator,true
david62,r/Minecraft,2026-03-06,Moderator,true
daniel93,r/Minecraft,2026-01-03,Member,false
ellismaurice,r/pcmasterrace,2026-01-13,Member,true
bdixon,r/truegaming,2026-01-15,Member,true
lovecheryl,r/Minecraft,2026-01-13,Member,true
joan45,r/Minecraft,2026-01-03,Moderator,false
jprice,r/leagueoflegends,2026-04-13,Member,false
mooredeanna,r/gaming,2026-01-09,Moderator,false
reneelewis,r/GlobalOffensive,2026-01-20,Moderator,true
vpowell,r/NintendoSwitch,2026-03-16,Moderator,false
matthewgreen,r/pcmasterrace,2026-03-02,Moderator,true
cweaver,r/EldenRing,2026-01-27,Moderator,true
andersonjuan,r/indiegames,2026-02-04,Member,false
krystal33,r/EldenRing,2026-01-10,Moderator,true
philliprogers,r/PS5,2026-01-15,Member,true
adam99,r/Helldivers,2026-02-12,Member,false
kimberlygreene,r/Helldivers,2026-04-18,Member,false
jessicatate,r/skyrim,2026-01-27,Moderator,false
victoriakey,r/EldenRing,2026-02-16,Member,true
craig49,r/PS5,2026-01-09,Moderator,false
uparker,r/indiegames,2026-02-20,Member,true
torressophia,r/pcmasterrace,2026-02-26,Member,true
williamstara,r/GlobalOffensive,2026-01-09,Member,true
sanchezemily,r/leagueoflegends,2026-02-09,Moderator,true
pughkylie,r/leagueoflegends,2026-03-05,Moderator,false
swang,r/PS5,2026-01-18,Member,true
wbrown,r/Helldivers,2026-02-22,Moderator,false
mwilcox,r/gaming,2026-04-23,Moderator,false
lauren31,r/FortniteBR,2026-03-19,Moderator,false
lwatkins,r/Minecraft,2026-01-25,Member,false
crossgina,r/patientgamers,2026-04-16,Moderator,false
opalmer,r/gaming,2026-04-03,Member,false
manuel04,r/Valorant,2026-02-22,Moderator,false
xherrera,r/indiegames,2026-01-31,Member,true
ryanroberts,r/indiegames,2026-03-06,Member,false
abrooks,r/pcmasterrace,2026-02-20,Member,false
paul79,r/skyrim,2026-04-20,Member,false
waremichael,r/truegaming,2026-01-14,Moderator,false
jamessimmons,r/FortniteBR,2026-01-09,Member,false
burnsamanda,r/Valorant,2026-02-08,Moderator,false
amanda71,r/gaming,2026-01-27,Member,false
robin35,r/FortniteBR,2026-01-11,Member,true
yjohnson,r/indiegames,2026-03-02,Moderator,true
jeffreylara,r/Valorant,2026-04-01,Moderator,false
smithholly,r/leagueoflegends,2026-04-14,Moderator,true
susan05,r/Valorant,2026-02-04,Moderator,true
mhuang,r/PS5,2026-03-19,Moderator,true
megan59,r/FortniteBR,2026-04-14,Member,false
gutierreztyrone,r/Valorant,2026-01-08,Member,true
bholmes,r/NintendoSwitch,2026-04-05,Moderator,true
darius82,r/pcmasterrace,2026-03-06,Moderator,true
lalexander,r/gaming,2026-01-12,Member,false
amanda43,r/Minecraft,2026-01-07,Member,true
padillaann,r/GlobalOffensive,2026-01-08,Member,true
kristy41,r/FortniteBR,2026-02-28,Member,false
jasonbrown,r/GlobalOffensive,2026-01-25,Moderator,false
amber86,r/truegaming,2026-01-24,Member,false
christopher45,r/skyrim,2026-04-08,Member,false
smacdonald,r/gaming,2026-04-28,Moderator,true
gutierreztyrone,r/pcmasterrace,2026-01-04,Moderator,true
tracybecker,r/gaming,2026-03-27,Member,true
emilyvega,r/Helldivers,2026-03-20,Moderator,true
michael30,r/truegaming,2026-01-21,Member,true
jgarcia,r/PS5,2026-02-12,Member,false
dustin15,r/patientgamers,2026-04-15,Member,true
mgriffin,r/skyrim,2026-02-27,Moderator,false
brittany51,r/leagueoflegends,2026-03-01,Moderator,true
bowmancrystal,r/gaming,2026-01-28,Moderator,true
edwardsjohn,r/GlobalOffensive,2026-02-18,Moderator,true
acampbell,r/leagueoflegends,2026-01-06,Member,true
robinsonbriana,r/gaming,2026-03-03,Member,true
brewerlaura,r/indiegames,2026-01-10,Moderator,true
bailey18,r/pcmasterrace,2026-03-13,Member,true
brianberger,r/gaming,2026-01-19,Moderator,false
sbaxter,r/indiegames,2026-04-22,Member,true
kathyjohnson,r/NintendoSwitch,2026-01-31,Moderator,true
eberry,r/Valorant,2026-02-14,Moderator,false
dwilliams,r/Helldivers,2026-01-20,Member,false
bryanbell,r/gaming,2026-03-13,Moderator,true
gloria57,r/NintendoSwitch,2026-03-22,Member,false
kimberly83,r/Minecraft,2026-02-03,Moderator,true
kathleenguerrero,r/GlobalOffensive,2026-02-28,Moderator,false
markmorgan,r/Minecraft,2026-02-19,Moderator,true
amanda28,r/Minecraft,2026-02-10,Moderator,true
kerrylynn,r/EldenRing,2026-02-14,Member,false
cabreraglenn,r/Valorant,2026-03-24,Moderator,false
jameslewis,r/PS5,2026-01-26,Moderator,true
thomasnicole,r/PS5,2026-01-18,Member,false
jlopez,r/truegaming,2026-01-18,Moderator,false
dustin15,r/indiegames,2026-02-10,Member,true
james01,r/leagueoflegends,2026-01-15,Member,true
melissasims,r/skyrim,2026-02-25,Member,false
johnmorales,r/skyrim,2026-02-08,Moderator,true
pwatkins,r/Helldivers,2026-01-14,Moderator,false
garrettnicholas,r/skyrim,2026-03-09,Member,true
rhatfield,r/gaming,2026-03-16,Member,true
qduncan,r/Minecraft,2026-03-13,Moderator,true
harrisonheather,r/Minecraft,2026-01-20,Moderator,false
keithsheppard,r/leagueoflegends,2026-03-31,Moderator,true
owilson,r/pcmasterrace,2026-04-03,Member,true
olivia88,r/pcmasterrace,2026-04-06,Member,false
wandakennedy,r/PS5,2026-01-24,Member,true
xcastillo,r/NintendoSwitch,2026-02-26,Moderator,false
derrick66,r/truegaming,2026-04-26,Member,true
daisyhuber,r/Minecraft,2026-04-18,Moderator,true
william84,r/FortniteBR,2026-02-22,Member,false
xray,r/PS5,2026-03-17,Member,true
psutton,r/skyrim,2026-04-15,Moderator,true
carterrobert,r/indiegames,2026-01-01,Member,true
reevesross,r/Valorant,2026-01-28,Member,true
jonesdennis,r/NintendoSwitch,2026-02-16,Moderator,false
qmosley,r/GlobalOffensive,2026-04-14,Member,true
william72,r/truegaming,2026-01-21,Moderator,true
norman94,r/skyrim,2026-01-24,Member,false
zimmermanchristopher,r/NintendoSwitch,2026-02-27,Moderator,false
wreilly,r/gaming,2026-01-06,Moderator,true
manningnicole,r/truegaming,2026-04-26,Member,true
dustin20,r/NintendoSwitch,2026-03-25,Member,true
castanedalisa,r/Helldivers,2026-04-14,Moderator,false
ssanchez,r/EldenRing,2026-02-04,Member,false
elizabethbrooks,r/gaming,2026-03-01,Member,true
vgreer,r/NintendoSwitch,2026-02-19,Moderator,true
xtanner,r/gaming,2026-01-20,Member,true
jenniferfox,r/EldenRing,2026-03-12,Member,true
robinsonbriana,r/NintendoSwitch,2026-04-07,Moderator,false
lucaschristina,r/FortniteBR,2026-03-10,Member,false
gailfranklin,r/truegaming,2026-01-27,Member,true
urobinson,r/Helldivers,2026-03-05,Member,true
mreyes,r/leagueoflegends,2026-04-05,Moderator,false
jessicaweaver,r/indiegames,2026-04-15,Moderator,false
andersontina,r/EldenRing,2026-01-27,Member,true
jennifer07,r/GlobalOffensive,2026-04-05,Member,true
fernandobarnett,r/GlobalOffensive,2026-03-09,Member,false
xsanchez,r/FortniteBR,2026-01-16,Member,true
sharon55,r/leagueoflegends,2026-04-28,Member,false
deborah86,r/patientgamers,2026-02-20,Moderator,true
campostimothy,r/leagueoflegends,2026-03-09,Moderator,true
jonathanbarber,r/NintendoSwitch,2026-04-22,Member,true
dware,r/skyrim,2026-03-02,Moderator,false
kingzachary,r/Minecraft,2026-02-10,Moderator,true
wagneradriana,r/Minecraft,2026-03-20,Member,false
briandickerson,r/FortniteBR,2026-02-05,Moderator,false
williamlopez,r/indiegames,2026-01-04,Member,false
ericmurphy,r/leagueoflegends,2026-03-07,Moderator,false
huntdavid,r/indiegames,2026-03-01,Moderator,true
ojohnson,r/skyrim,2026-01-17,Moderator,false
amber85,r/Helldivers,2026-03-15,Member,false
phillipsjonathan,r/gaming,2026-04-21,Moderator,true
michaelcox,r/patientgamers,2026-03-27,Member,false
rebecca02,r/PS5,2026-03-22,Member,true
longkyle,r/indiegames,2026-03-17,Moderator,false
tayloreric,r/GlobalOffensive,2026-01-20,Moderator,true
egreen,r/skyrim,2026-03-05,Moderator,false
erika21,r/Valorant,2026-01-29,Member,false
codyhughes,r/Helldivers,2026-04-28,Member,true
ubaker,r/gaming,2026-04-12,Member,true
dawnmatthews,r/leagueoflegends,2026-02-24,Moderator,false
caitlindaniel,r/gaming,2026-04-07,Moderator,false
robertarmstrong,r/indiegames,2026-01-17,Moderator,true
sanchezmegan,r/FortniteBR,2026-03-14,Moderator,true
tyler65,r/GlobalOffensive,2026-03-12,Member,false
richard30,r/patientgamers,2026-01-31,Moderator,false
maria55,r/gaming,2026-03-10,Moderator,true
qguerrero,r/NintendoSwitch,2026-04-14,Moderator,false
jonesbilly,r/Valorant,2026-01-21,Moderator,true
urobinson,r/GlobalOffensive,2026-02-01,Member,false
andrew11,r/gaming,2026-04-25,Member,true
brownjohn,r/Helldivers,2026-04-20,Member,false
trevinosandra,r/Helldivers,2026-01-20,Moderator,false
vromero,r/Helldivers,2026-03-06,Member,false
craig12,r/EldenRing,2026-03-01,Moderator,true
perezmiguel,r/indiegames,2026-01-05,Member,false
hfrank,r/pcmasterrace,2026-01-16,Member,true
gvaughn,r/GlobalOffensive,2026-04-13,Moderator,true
angelcox,r/Valorant,2026-04-04,Member,true
sarah43,r/pcmasterrace,2026-02-15,Moderator,true
blawson,r/Helldivers,2026-01-30,Member,true
kellyherring,r/truegaming,2026-04-13,Member,true
tyler68,r/GlobalOffensive,2026-01-09,Member,false
